code;name;ventas_cantidad;ingresos_cantidad;stock_actual;movimientos_venta;display_order_sugerido;visible_sugerido
04943;RELOJ SMART ZQ/PRO 09 + GLASS;40;50;13;22;532;1
090072;SUPRESOR DE PICOS QUASAD QSP-33UBK 4T;40;40;0;22;533;1
07021;TECL GENIUS SMART KB-100;40;40;0;18;534;1
07115;TECL QUASAD QC4400U COMBO BLACK;40;40;0;14;535;1
034002;AUDIF LDNIO ML HP09;39;30;38;13;536;1
03154;AUDIF SAM BUDS LIVE PLOMO;39;36;1;31;537;1
070623;CAM TP-LINK TAPO C120;39;45;6;31;538;1
070043;MOUSE GENIUS NX-7005 USB ROJO;39;30;0;32;539;1
07187;MOUSE QUASAD QM-610 WIRL GRIS;39;160;121;15;540;1
043721;PARL BOMBOX P172 AZUL;39;40;1;33;541;1
051972;CARG SAMSUNG 68W TC A TC;38;0;2;12;542;1
077001;CONTROL DSH WLS PS3 NEGRA;38;50;26;25;543;1
050902;CORTAPICO LDNIO SC3604 2500W*3 + 6USB 17;38;45;9;26;544;1
010251;FLASH MEMORY SANDISK UL FIT 32GB;38;38;0;6;545;1
070031;MOUSE GENIUS DX-MINI CELESTE;38;39;0;24;546;1
043552;PARL ECCO T7 ROSA;38;54;17;30;547;1
044001;PARL LIDIMI LD S12019 NEGRO;38;39;0;27;548;1
07750;TECL GENIUS + MOUSE OP KM8206S;38;40;2;28;549;1
038701;AUDIF JBL DI TUNE H6 CAFE;37;37;0;26;550;1
032071;AUDIF LDNIO BT T03 BLANCO;37;37;1;28;551;1
09304;PALETA RICH EPU DOBLE;37;50;13;25;552;1
04388;"PARL CAFINI CN S6852AC/Z 8""";37;41;4;24;553;1
07313;ADAPT TP-LINK MINI USB ARCHER T2U;36;40;4;22;554;1
03816;AUDIF LDNIO BT T06 BLANCO;36;46;4;24;555;1
05504;AUTO CAR ENJOY TOGETHER V8;36;0;24;9;556;1
050802;AUTO HOLDER LDNIO MG01 NEGRO;36;0;0;16;557;1
02054;CABLE LDNIO LC101 PD TC A TC;36;0;0;6;558;1
05503;CARG VIAKING DE RELOJ 5W PD TIPO C;36;31;1;10;559;1
077012;CONTROL DSH WLS PS4 NEGRO;36;40;5;26;560;1
09301;PALETA RICH GRANDE;36;30;18;27;561;1
043723;PARL BOMBOX P172 ROJO;36;37;1;29;562;1
04336;PARL PORTABLE HF-885;36;36;0;19;563;1
04120;TV STICK 4K;36;2;0;12;564;1
038441;AUDIF JBL BT BUDS AIR2 NEGRO;35;34;2;22;565;1
05720;AUTO CAR EARLDOM BT ET-M97 TIPO C;35;35;0;13;566;1
02303;CABLE ECCO EC-30C NYLON 1M TIPO C;35;0;0;4;567;1
020593;CABLE IP LIGHT 60W 1M TC A TC;35;200;165;5;568;1
02230;CABLE LDNIO LC-16 65W 4 EN 1;35;50;19;10;569;1
04308;PARL ASTRON START LIGH MXS-003;35;1;0;25;570;1
043961;PARL LIDIMI LD 878 NEGRO;35;41;6;27;571;1
043761;PARL LIDIMI LD S648 AZUL;35;53;18;30;572;1
04373;PARL LIDIMI LD S820 NEGRO;35;35;0;28;573;1
07314;ADAPT TP-LINK USB ARCHER T2U NANO;34;46;12;22;574;1
03272;AUDIF ECCO DI EC-237 NEGRO;34;34;0;18;575;1
03871;AUDIF JBL DI TUNE 360 NEGRO;34;34;0;27;576;1
03815;AUDIF LDNIO BT T06 NEGRO;34;33;6;26;577;1
06019;BATERIA SAM J7;34;32;2;11;578;1
09104;EXHIBIDOR LAMINAS RICH;34;0;0;34;579;1
090125;"MAQUINA RICH 16"" CUP 4 RODILLOS";34;33;0;34;580;1
04267;PARL CS-8800 8 PULG;34;20;3;25;581;1
04371;PARL P PRO 16 NEGRO;34;34;0;26;582;1
99015;VARIOS PRODUCTOS;34;19;34;23;583;1
03911;AUDIF BT WIRELESS MI M10;33;60;27;13;584;1
03838;AUDIF LABUBU BT TWS 505 + RELOJ CAFE;33;38;5;25;585;1
03812;AUDIF LDNIO BT T08 BLANCO;33;36;5;28;586;1
070622;CAM TP-LINK TAPO C212;33;39;6;22;587;1
07700;CONTROL DSH WLS PS3 AZUL;33;0;0;24;588;1
07751;MOUSE GENIUS ECO8100 RECAR NEGRO;33;33;0;18;589;1
075001;TRIPODE JJ60;33;36;3;12;590;1
032721;AUDIF ECCO DI EC-237 BEIGE;32;51;19;21;591;1
038051;AUDIF LIVIN BT ZS-360 BLANCO;32;21;0;25;592;1
02550;CABLE DE ROUTER DE 5 A 12VL;32;3;417;9;593;1
052161;POWER BANK MAGNETIC IP 10000;32;100;68;8;594;1
038751;AUDIF SONY BT WF 805ANC NEGRO;31;31;0;23;595;1
050801;AUTO HOLDER LDNIO MW21 USB A C;31;45;19;12;596;1
02035;CABLE HDMI 5 MTS;31;83;57;16;597;1
02137;CABLE LDNIO LC211 65W TC A C;31;70;39;6;598;1
02109;CABLE LDNIO LS821 1M V8;31;0;18;7;599;1
090123;KIT ROLLO IMPRE RICH;31;18;0;31;600;1
070551;MOUSE JEDEL GAMER GM-850;31;0;0;12;601;1
04294;PARL AO-811;31;30;0;21;602;1
042851;PARL CHARGE 5 CAMUFLAJE;31;32;1;26;603;1
042854;PARL CHARGE 5 ROJO;31;32;0;23;604;1
043503;PARL KIMISO MINI M5 TURQUEZA;31;29;0;28;605;1
043501;PARL KIMISO MINI M5 VERDE MIL;31;31;0;26;606;1
04351;PARL KIMISO QS-1803 MED;31;32;1;21;607;1
04337;PARL KIMISO QS-1806;31;32;1;16;608;1
0409835;PARL PRO KMS-M12 ROSADO;31;31;0;21;609;1
043601;PARL SOONBOX + MICROF S65 NEGRO;31;36;5;28;610;1
024108;ADAPT LDNIO VARIAS PUNTAS Z7;30;40;12;8;611;1
038371;AUDIF CAPIBARA BT + RELOJ AZUL;30;42;12;25;612;1
03828;AUDIF LELISU DI LS-239 BEIGE;30;30;0;18;613;1
03835;AUDIF PEACH BT TWS-K15 ROSADO;30;30;2;16;614;1
030031;AUDIF SPORT ML YK800 BLANCO;30;0;0;13;615;1
010632;FLASH MEMORY SANDISK UL FIT 16GB;30;30;0;5;616;1
05553;MOTO CAR LDNIO 60W C108 TC A C;30;30;0;12;617;1
07124;MOUSE JEDEL GAMER CON CABLE GM691;30;30;0;11;618;1
070553;MOUSE JEDEL GAMER GM880;30;30;0;14;619;1
07003;MOUSE MICRO GENIUS TRAV NEGRO;30;32;3;16;620;1
04295;PARL AO-812;30;30;0;22;621;1
04296;PARL AO-813;30;30;0;23;622;1
043725;PARL BOMBOX P172 GRIS;30;30;1;28;623;1
04330;PARL CS-4426 4PUL;30;30;0;21;624;1
04331;PARL MS-3625 BT;30;30;0;20;625;1
0409836;PARL PRO KMS-M12 VERDE;30;30;0;24;626;1
04352;PARL SPEAKER MS-3633;30;30;0;22;627;1
04945;SMARTWATCH LDNIO SW01 NEGRO;30;32;5;27;628;1
03852;AUDIF DIAD ECCO EC-T21 NEGRO;29;25;0;20;629;1
03053;AUDIF INPODS GRIS;29;40;14;19;630;1
038301;AUDIF LIVIN BT E18 NEGRO;29;30;2;20;631;1
031542;AUDIF SAM BUDS LIVE DORADO;29;26;0;22;632;1
07094;CAM TP-LINK TAPO EXT C310;29;37;8;21;633;1
99008;EXHIBIDOR LDNIO GRANDE;29;5;7;28;634;1
05253;CARG LDNIO 30W A2317C 3.0 TC A TC;28;0;0;2;635;1
05162;CARG SAMSUNG 45W TC A TC BLANCO;28;0;0;8;636;1
99003;ESFERO PROMO;28;98;567;11;637;1
01005;MICRO SD KINGSTON 100 MB/S 256GB;28;29;0;18;638;1
07752;MOUSE GENIUS ECO8100 RECAR AZUL;28;28;0;17;639;1
070552;MOUSE JEDEL GAMER GM830;28;0;0;15;640;1
0425013;PARL ES-300 VERDE;28;20;3;20;641;1
04375;PARL LIDIMI LD 875 NEGRO;28;28;0;25;642;1
043611;PARL SOONBOX + MICROF S66 NEGRO;28;36;8;25;643;1
073012;ROUTER MERCUSYS 300MBPS MW301R 2 ANT;28;30;2;17;644;1
04972;SMARTWATCH ROCK 005 +BAT NEGRO;28;38;10;26;645;1
03901;AUDIF JBL BT MINI 5S BLANCO;27;29;2;16;646;1
03810;AUDIF LDNIO BT T07 BLANCO;27;32;5;21;647;1
038401;AUDIF SAMSUNG BT BUDS2 PRO NEGRO;27;45;14;18;648;1
02159;CABLE EARLDOM AUX 81 1M RCA;27;50;23;7;649;1
042852;PARL CHARGE 5 NEGRO;27;32;0;23;650;1
04974;SMARTWATCH KW900 NEGRO;27;28;0;22;651;1
080051;TINTA EPSON 544 JUEGO X 4 ORIG;27;36;11;17;652;1
033503;AUDIF MDR-XB960BT DI GRIS;26;0;0;23;653;1
05561;AUTO CAR LDNIO 60W C3 TC A C;26;75;49;11;654;1
02072;CABLE IP 4;26;0;105;6;655;1
090128;MAQUINA RICH MINI BLACK;26;46;18;25;656;1
0425012;PARL ES-300 ROJO;26;19;0;19;657;1
043981;PARL LIDIMI LD 706 NEGRO;26;39;13;21;658;1
043712;PARL P PRO 16 CAMUFLAJE;26;26;0;23;659;1
02157;ADAPT EARLDOM W34 TC + HDMI;25;20;0;16;660;1
03876;AUDIF DI BST BT500 BT;25;30;5;12;661;1
03903;AUDIF JBL BT K80 NEGRO;25;40;15;18;662;1
05556;CARG LDNIO 25W A2423 TIPO C A C;25;25;0;8;663;1
050901;CORTAPICO LDNIO SC5614 2500W*5 + 6USB 17;25;12;0;15;664;1
04397;PARL CAFINI 6783;25;25;0;16;665;1
043622;PARL COLORFUL + MICROF K12 VERDE;25;28;3;19;666;1
043553;PARL ECCO T7 CAFE;25;30;5;21;667;1
0425011;PARL ES-300 AZUL;25;20;0;18;668;1
043731;PARL LIDIMI LD S820 AZUL;25;25;0;23;669;1
04353;PARL SPEAKER MS-3623;25;26;1;20;670;1
03826;AUDIF CAFINI BT A7706 BLANCO;24;25;0;12;671;1
03837;AUDIF CAPIBARA BT + RELOJ CAFE;24;25;2;20;672;1
038611;AUDIF ECCO EC-T36 NEGRO;24;100;77;10;673;1
038432;AUDIF JBL BT TUNE 804 NEGRO;24;24;0;21;674;1
03874;AUDIF JBL BT TWS U331 BLANCO;24;24;0;16;675;1
07132;CAM SANCI MINI ESPIA;24;42;19;15;676;1
070042;MOUSE GENIUS NX-7005 USB AZUL;24;23;0;22;677;1
04362;PARL COLORFUL + MICROF K12 BEIGE;24;26;2;20;678;1
04325;PARL JBR-08;24;24;0;17;679;1
04326;PARL JBR-09;24;24;0;16;680;1
043505;PARL KIMISO MINI M5 ROSADO;24;26;0;19;681;1
04292;PARL KIMISO QS-3628 2000W;24;24;2;14;682;1
04968;RELOJ SMART ZQ ULTRA 2 NEGRO;24;0;0;18;683;1
07008;TECLADO QUASAD PLANO QK440C BLACK;24;0;0;12;684;1
09106;ALFOMBRA RICH ANTI SLIP;23;50;38;18;685;1
038811;AUDIF JBL BT TWS BT36 NEGRO;23;30;7;13;686;1
038741;AUDIF JBL BT TWS U331 NEGRO;23;23;0;15;687;1
038273;AUDIF LELISU BT LS519 NEG/BLAN;23;30;0;19;688;1
038393;AUDIF SAMSUNG BT K93 NEGRO;23;25;0;14;689;1
077011;CONTROL DSH WLS PS4 ROJO;23;20;6;19;690;1
050904;CORTAPICO LDNIO SC3412 2500W* 3USB 1TC 3;23;30;7;18;691;1
01031;DDS KINGSTON A400 480GB;23;20;0;10;692;1
043621;PARL COLORFUL + MICROF K12 ROSA;23;26;3;19;693;1
07612;PARL JEDEL CPU S-550;23;60;37;17;694;1
043713;PARL P PRO 16 AZUL;23;23;0;19;695;1
04361;PARL SOONBOX + MICROF S66 AZUL;23;27;5;18;696;1
05889;POWER BANK LDNIO PQ20 20000 mAh;23;16;0;15;697;1
07120;TECL + MOUSE JEDEL WIR WS671+;23;23;0;18;698;1
05306;ADAPT EARLDOM OT82 4 EN 1;22;20;0;11;699;1
03647;AUDIF ANSTY ML E002 BLANCO;22;100;78;5;700;1
03273;AUDIF ECCO DI E35 NEGRO;22;30;8;17;701;1
038610;AUDIF ECCO EC-T36 BLANCO;22;200;178;11;702;1
03051;AUDIF INPODS VERDE;22;21;3;13;703;1
038451;AUDIF SE ONE BT NEGRO;22;22;0;13;704;1
05901;AUTO HOLDER EARLDOM ET-EH221;22;45;23;8;705;1
051222;AUTO HOLDER LDNIO 15W MA30-1 NEGRO;22;37;15;8;706;1
057003;POWER BANK ANSTY AP-075 20000;22;50;28;14;707;1
05216;POWER BANK MAGNETIC IP 5000;22;150;128;6;708;1
